message ,label
add crazy bad xml parser thing work suunto xml file dive format one put many dive file way libxml2 handle concatenate xml file start error know need stinking drunk look more xml mess ,good
make multidive file valid xml multiple root entry call dive make baby enclose root entry call dive turn parseable xml help make world well place ,good
turn xml parseable problem different xml file different node name least turn sane format nice callback place value could use fill useful information ,good
move parser usable dive split sample split could start fill datum ,good
fill dummy parse target code parse tell many sample parse ,good
start show unparse entry show type entry make clear screw sample match ,good
fix stupid current sample nice compiler warning hide crazy gcc pointer sign warning want see want strlen unsigned string complain crazy bitch compiler make cflag set ,good
move text hackery well caller debug user may want full ,good
start parse dive date suunto xml format ,good
start parse numeric field pressure sample time ,good
add verbose flag parse dive spam stdout list stuff parse default add verbose flag enable output set ,good
start report number parse show sampletime thing get bit much copypaste temperature parsing ,good
fix temperature conversion water temperature degc ,good
add datetime parsing libdivecomputer xml file think get date dive could start sort remove duplicate try remove dup guess should compare one suunto one bet various interesting issue use bar atm etc xml portable crazy people ,good
report dive parse end report make easy see duplicate need save dive real work require verbosity level show sample show unparsed entry ,bad
add more parsing function fix duration parse can second format float point make sense ,good
clean dive reporting show date max depth time default stuff matter should exist ,good
split dive data structure declaration diveh dive parser should part program whole thing start prepare ,good
start move nonparsing stuff create mainc main routine argument parsing etc ,good
add gitignore file current state ,good
create gtk window day will ,good
generate default name dive name string containint date time depth length useful go ,neutral
show dive gtk listtree widget good ill need enclose thing scrollable window make scrollable thing part whole window pixel screen pixel show name dive parse least many will fit screen time ,good
make dive list scrollable put vbox mean can see walk make useful ,good
fix depth parsing decimal meter integer foot logic work meter xml end have whole meter ,good
draw kind profile first dive kind break follow select dive profile scale etc show new text ,good
split profile frame generation own file ,neutral
rid unused showdive function ,good
split scroll window generation own file ,good
newlineterminate dive name result ugly list wrong begin ,good
redo tree selection code selection callback look way ,neutral
teach thing track select dive repaint profile selection change ugly may useful need show other dive information allow user fill detail save end result useful ,neutral
add repaintdive prototype fix dependency ,neutral
use gtk table want add various dive statistic look same ,good
add fake info frame content should depth time place etc information fake depth update show idea table usage ,good
dive profile create bound box scale marker ,neutral
plot fancy fill depth profile dicke ,good
dive profile plot use sane minimum limit time minimum second minute want show least make shallow dive look shallow scale full depth ,good
dive parsing enforce dive duration see sample dive duration update dive duration ,neutral
